MethodID,Step,Operator,Success,ParentMemory(KB),ChildMemory(KB),Reward
1,1,MoveStatement,true,220,7,31.4286
1,2,MoveStatement,true,7,7,1.0000
1,3,SwapStatement,true,7,7,1.0000
1,4,MatchedSwapStatement,false,7,-1,0.0000
1,5,ReplaceStatement,true,7,7,1.0000
1,6,CopyStatement,true,7,7,1.0000
1,7,MatchedDeleteStatement,false,7,-1,0.0000
1,8,MatchedCopyStatement,true,7,7,1.0000
1,9,UnaryOperatorReplacement,true,7,7,1.0000
1,10,SwapStatement,true,7,7,1.0000
1,11,MatchedSwapStatement,false,7,-1,0.0000
1,12,MatchedCopyStatement,false,7,-1,0.0000
1,13,MoveStatement,true,7,7,1.0000
1,14,SwapStatement,true,7,7,1.0000
1,15,MoveStatement,true,7,7,1.0000
1,16,SwapStatement,true,7,7,1.0000
1,17,MoveStatement,true,7,7,1.0000
1,18,SwapStatement,true,7,7,1.0000
1,19,DeleteStatement,true,7,7,1.0000
1,20,UnaryOperatorReplacement,true,7,7,1.0000
1,21,UnaryOperatorReplacement,true,7,7,1.0000
1,22,MoveStatement,true,7,7,1.0000
1,23,SwapStatement,false,7,-1,0.0000
1,24,MatchedReplaceStatement,true,7,7,1.0000
1,25,CopyStatement,true,7,7,1.0000
1,26,DeleteStatement,true,7,7,1.0000
1,27,BinaryOperatorReplacement,true,7,7,1.0000
1,28,UnaryOperatorReplacement,true,7,7,1.0000
1,29,MatchedReplaceStatement,true,7,7,1.0000
1,30,MatchedSwapStatement,false,7,-1,0.0000
1,31,SwapStatement,true,7,7,1.0000
1,32,MoveStatement,true,7,7,1.0000
1,33,MatchedDeleteStatement,false,7,-1,0.0000
1,34,MatchedSwapStatement,false,7,-1,0.0000
1,35,BinaryOperatorReplacement,true,7,7,1.0000
1,36,MatchedCopyStatement,false,7,-1,0.0000
1,37,UnaryOperatorReplacement,true,7,7,1.0000
1,38,MatchedSwapStatement,true,7,7,1.0000
1,39,MoveStatement,true,7,7,1.0000
1,40,MatchedSwapStatement,false,7,-1,0.0000
1,41,MatchedSwapStatement,true,7,7,1.0000
1,42,MatchedSwapStatement,true,7,7,1.0000
1,43,DeleteStatement,false,7,-1,0.0000
1,44,UnaryOperatorReplacement,true,7,7,1.0000
1,45,CopyStatement,true,7,7,1.0000
1,46,CopyStatement,true,7,7,1.0000
1,47,CopyStatement,false,7,-1,0.0000
1,48,BinaryOperatorReplacement,true,7,7,1.0000
1,49,MatchedCopyStatement,true,7,7,1.0000
1,50,BinaryOperatorReplacement,true,7,7,1.0000
1,51,MatchedReplaceStatement,true,7,7,1.0000
1,52,MatchedDeleteStatement,false,7,-1,0.0000
1,53,BinaryOperatorReplacement,true,7,7,1.0000
1,54,MatchedSwapStatement,true,7,7,1.0000
1,55,SwapStatement,true,7,7,1.0000
1,56,MatchedCopyStatement,false,7,-1,0.0000
1,57,DeleteStatement,false,7,-1,0.0000
1,58,MatchedReplaceStatement,false,7,-1,0.0000
1,59,BinaryOperatorReplacement,true,7,7,1.0000
1,60,BinaryOperatorReplacement,true,7,7,1.0000
